archive,file_bytes,sha256,included_in_release,name,experiment_key,plate,instrument_well,biological_sample,well_position,assay,cas_variant,cas_promoter,guide_promoter,direct_repeat,donor_recruitment,guide_id,strain,replicate,timepoint,generations,control,figure,paper_panel,source_table
cas12a_precision_editing_figure1_fcs.zip,1008200,41cf234b245c0f8e683dc4bfa549af069b13e87890c354b71fef70cdbea8471e,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_C03.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C03,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,1,6_gen,7.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,d7074e9af32b52e8043bfc430b3cd7b9864043f25ba2886c5a38d289fd7617e6,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_C04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C04,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,1,6_gen,4.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,53dbbe424a1cecf42faa14ccce81738549320b4e3f9a1f3ae3291de5e7199990,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_D03.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D03,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,2,6_gen,8.0,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,d6a4abcf766f2329f60faff66d3ea44d1b4958939aa46eb9dbed2b63c3efbf73,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_D04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D04,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,2,6_gen,4.4,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,7bbedb4fb0e32c0599fbb7c0313dcccf3928574d7ff25aea22af346fccb8c894,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_E04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),E04,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,1,6_gen,4.8,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,e381e3370370234f1f3a77bb8f425ebbc6aa375ce46fd1a72bb6d2c569f49a30,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_F04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),F04,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,2,6_gen,4.7,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,a980bf6febe49a381b9a4195c69d239cb9031be1301ff4ff3a13cb61d7396448,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_G04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),G04,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,1,6_gen,5.0,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,a09ba049d623f01956dbad9b628aba5415ea565e100dd5e7f7e591c6ed74099e,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_scrapedcells_and_day_1_H04.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),H04,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,2,6_gen,4.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,81c213c4ea3bb4574c497fcd0e5b2669dee4019dbcbfbeec8f75f2ca88e71076,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_scraped_cells_firstread_A04.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,A04,C5,,GFP_OFF,FnCas12a,PGK1,SNR52,As_DR,,,,1,6_gen,8.3,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,9b304c386caf4b092b88becb315568ff3b93d77ecc611f860299fab443083c58,True,AD_20240709_cas12a_all_PGK1plateC_Experiment_scraped_cells_firstread_B04.fcs,cas_variant_gfp_off,AD_20240709_cas12a_all_PGK1plateC,B04,C5,,GFP_OFF,FnCas12a,PGK1,SNR52,As_DR,,,,2,6_gen,8.0,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
