name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency,true_colony_count,control_count,viability
NA,NA,NA,NA,NA,NA,LbCas12a(CO),2,no,TEF,20_gen,17.3,66,2255,NA,NA
NA,NA,NA,NA,NA,NA,LbCas12a,2,no,TEF,20_gen,17.5,82.07600000000001,2120,NA,NA
NA,NA,NA,NA,NA,NA,MbCas12a,2,no,TEF,20_gen,17.1,44.684000000000005,3902,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,1,no,TEF,20_gen,20.2,98.848,66,3148.5,0.02096236303001429
NA,NA,NA,NA,NA,NA,FnCas12a,1,no,TEF,20_gen,19.9,99.968,478,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,1,no,TEF,20_gen,17.4,59.032,2813,NA,NA
NA,NA,NA,NA,NA,NA,enAsCas12a,2,no,TEF,20_gen,20.5,99.168,54,3148.5,0.01715102429728442
NA,NA,NA,NA,NA,NA,FnCas12a,2,no,TEF,20_gen,19.8,99.992,577,NA,NA
NA,NA,NA,NA,NA,NA,AsCas12a,2,no,TEF,20_gen,17.4,55.728,2667,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),1,no,TEF,20_gen,20.1,99.976,295,NA,NA
NA,NA,NA,NA,NA,NA,FnCas12a(CO),2,no,TEF,20_gen,19.9,99.964,254,NA,NA
