name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency,colonies_cutoff
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D1_D1.fcs,root,1,VB_20240911_Cas_vars_P2,D1,T04_TEF_D1,FnCas12a(CO),1,No,TEF,T04,23.8917109,54.656000000000006,2116
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D1_E1.fcs,root,1,VB_20240911_Cas_vars_P2,E1,T04_TEF_D1,FnCas12a,1,No,TEF,T04,24.12781784,61.596,2424
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D1_F1.fcs,root,1,VB_20240911_Cas_vars_P2,F1,T04_TEF_D1,LbCas12a,1,No,TEF,T04,21.52039769,72.52,3329
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D1_G1.fcs,root,1,VB_20240911_Cas_vars_P2,G1,T04_TEF_D1,AsCas12a,1,No,TEF,T04,22.54680091,51.052,8092
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D1_H1.fcs,root,1,VB_20240911_Cas_vars_P2,H1,T04_TEF_D1,MbCas12a,1,No,TEF,T04,22.14898938,42.136,7656
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D2_C2.fcs,root,1,VB_20240911_Cas_vars_P2,C2,T04_TEF_D2,LbCas12a(CO),2,No,TEF,T04,20.09028117,62.952,2444
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D2_D2.fcs,root,1,VB_20240911_Cas_vars_P2,D2,T04_TEF_D2,FnCas12a(CO),2,No,TEF,T04,22.20081433,61.495999999999995,1494
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D2_E2.fcs,root,1,VB_20240911_Cas_vars_P2,E2,T04_TEF_D2,FnCas12a,2,No,TEF,T04,23.30756941,70.39999999999999,1419
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D2_F2.fcs,root,1,VB_20240911_Cas_vars_P2,F2,T04_TEF_D2,LbCas12a,2,No,TEF,T04,21.92547136,72.796,3104
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D2_G2.fcs,root,1,VB_20240911_Cas_vars_P2,G2,T04_TEF_D2,AsCas12a,2,No,TEF,T04,21.51714181,51.62,6922
VB_20240911_Cas_vars_P2_Experiment_T04_TEF_D2_H2.fcs,root,1,VB_20240911_Cas_vars_P2,H2,T04_TEF_D2,MbCas12a,2,No,TEF,T04,21.97405602,43.164,7223
VB_20240916_PGK1_proms_Experiment_ys304_T01_A11.fcs,root,1,VB_20240916_PGK1_proms,A11,ys304_T01,enAsCas12a,1,No,TEF,T01,0,77.66,363
VB_20240916_PGK1_proms_Experiment_ys304_T01_A12.fcs,root,1,VB_20240916_PGK1_proms,A12,ys304_T01,enAsCas12a,2,No,TEF,T01,0,80.73599999999999,441
VB_20240916_PGK1_proms_Experiment_ys304_T02_C11.fcs,root,1,VB_20240916_PGK1_proms,C11,ys304_T02,enAsCas12a,1,No,TEF,T02,7.738767837,65.208,363
VB_20240916_PGK1_proms_Experiment_ys304_T02_C12.fcs,root,1,VB_20240916_PGK1_proms,C12,ys304_T02,enAsCas12a,2,No,TEF,T02,7.300123725,70.176,441
VB_20240916_PGK1_proms_P2_Experiment_ys304_T03_A11.fcs,root,1,VB_20240916_PGK1_proms_P2,A11,ys304_T03,enAsCas12a,1,No,TEF,T03,13.29948279,57.02,363
VB_20240916_PGK1_proms_P2_Experiment_ys304_T03_A12.fcs,root,1,VB_20240916_PGK1_proms_P2,A12,ys304_T03,enAsCas12a,2,No,TEF,T03,12.22612314,60.940000000000005,441
VB_20240916_PGK1_proms_P2_Experiment_ys304_T04_C11.fcs,root,1,VB_20240916_PGK1_proms_P2,C11,ys304_T04,enAsCas12a,1,No,TEF,T04,22.81715218,44.236,363
VB_20240916_PGK1_proms_P2_Experiment_ys304_T04_C12.fcs,root,1,VB_20240916_PGK1_proms_P2,C12,ys304_T04,enAsCas12a,2,No,TEF,T04,21.71997859,46.56,441
