name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C3.fcs,root,1,VB_20240916_PGK1_proms_P2,C3,ys318_T03,enAsCas12a,1,No,PGK1,T03,13.87897051,32.932
VB_20240916_PGK1_proms_P2_Experiment_ys318_T03_C4.fcs,root,1,VB_20240916_PGK1_proms_P2,C4,ys318_T03,enAsCas12a,2,No,PGK1,T03,12.60214209,32.736
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G3.fcs,root,1,VB_20240916_PGK1_proms_P2,G3,ys318_T04,enAsCas12a,1,No,PGK1,T04,23.27557529,19.68
VB_20240916_PGK1_proms_P2_Experiment_ys318_T04_G4.fcs,root,1,VB_20240916_PGK1_proms_P2,G4,ys318_T04,enAsCas12a,2,No,PGK1,T04,21.62728165,12.920000000000002
VB_20241007_MbCas12a_PGK1_Experiment_T01_G1.fcs,root,1,VB_20241007_MbCas12a_PGK1,G1,T01,MbCas12a,1,No,PGK1,T01,0,4.972
VB_20241007_MbCas12a_PGK1_Experiment_T01_H1.fcs,root,1,VB_20241007_MbCas12a_PGK1,H1,T01,MbCas12a,2,No,PGK1,T01,0,5.712
VB_20241007_MbCas12a_PGK1_Experiment_T02_G2.fcs,root,1,VB_20241007_MbCas12a_PGK1,G2,T02,MbCas12a,1,No,PGK1,T02,6.264785414,62.036
VB_20241007_MbCas12a_PGK1_Experiment_T02_H2.fcs,root,1,VB_20241007_MbCas12a_PGK1,H2,T02,MbCas12a,2,No,PGK1,T02,6.49848298,63.336000000000006
VB_20241007_MbCas12a_PGK1_Experiment_T03_G3.fcs,root,1,VB_20241007_MbCas12a_PGK1,G3,T03,MbCas12a,1,No,PGK1,T03,14.16976511,66.068
VB_20241007_MbCas12a_PGK1_Experiment_T03_H3.fcs,root,1,VB_20241007_MbCas12a_PGK1,H3,T03,MbCas12a,2,No,PGK1,T03,14.28026127,70.97200000000001
VB_20241007_MbCas12a_PGK1_Experiment_T04_G4.fcs,root,1,VB_20241007_MbCas12a_PGK1,G4,T04,MbCas12a,1,No,PGK1,T04,20.62097622,58.02
VB_20241007_MbCas12a_PGK1_Experiment_T04_H4.fcs,root,1,VB_20241007_MbCas12a_PGK1,H4,T04,MbCas12a,2,No,PGK1,T04,20.67257869,61.832
VB_20240930_Gal_vars_Experiment_T01_constitutive_E4.fcs,root,1,VB_20240930_Gal_vars,E4,T01_constitutive,enAsCas12a_less_NLS,1,No,TEF,T01,0,1.864
VB_20240930_Gal_vars_Experiment_T01_constitutive_F4.fcs,root,1,VB_20240930_Gal_vars,F4,T01_constitutive,enAsCas12a_less_NLS,2,No,TEF,T01,0,2.3560000000000003
VB_20240930_Gal_vars_Experiment_T01_constitutive_G4.fcs,root,1,VB_20240930_Gal_vars,G4,T01_constitutive,enAsCas12a_less_NLS,1,No,PGK1,T01,0,42.128
VB_20240930_Gal_vars_Experiment_T01_constitutive_H4.fcs,root,1,VB_20240930_Gal_vars,H4,T01_constitutive,enAsCas12a_less_NLS,2,No,PGK1,T01,0,40.796
VB_20240930_Gal_vars_Experiment_T02_constitutive_E9.fcs,root,1,VB_20240930_Gal_vars,E9,T02_constitutive,enAsCas12a_less_NLS,1,No,TEF,T02,4.678071905,12.443999999999999
VB_20240930_Gal_vars_Experiment_T02_constitutive_F9.fcs,root,1,VB_20240930_Gal_vars,F9,T02_constitutive,enAsCas12a_less_NLS,2,No,TEF,T02,5.145677455,11.296000000000001
VB_20240930_Gal_vars_Experiment_T02_constitutive_G9.fcs,root,1,VB_20240930_Gal_vars,G9,T02_constitutive,enAsCas12a_less_NLS,1,No,PGK1,T02,6.944858446,57.711999999999996
VB_20240930_Gal_vars_Experiment_T02_constitutive_H9.fcs,root,1,VB_20240930_Gal_vars,H9,T02_constitutive,enAsCas12a_less_NLS,2,No,PGK1,T02,7.169925001,56.108000000000004
VB_20240930_Gal_vars_Experiment_T03_consitutive_E11.fcs,root,1,VB_20240930_Gal_vars,E11,T03_consitutive,enAsCas12a_less_NLS,1,No,TEF,T03,11.39231742,21.572
VB_20240930_Gal_vars_Experiment_T03_consitutive_F11.fcs,root,1,VB_20240930_Gal_vars,F11,T03_consitutive,enAsCas12a_less_NLS,2,No,TEF,T03,12.94009332,20.296
VB_20240930_Gal_vars_Experiment_T03_consitutive_G11.fcs,root,1,VB_20240930_Gal_vars,G11,T03_consitutive,enAsCas12a_less_NLS,1,No,PGK1,T03,14.7809088,49.9
VB_20240930_Gal_vars_Experiment_T03_consitutive_H11.fcs,root,1,VB_20240930_Gal_vars,H11,T03_consitutive,enAsCas12a_less_NLS,2,No,PGK1,T03,14.30947635,44.507999999999996
VB_20240930_Gal_vars_P2_Experiment_T04_constitutive_E5.fcs,root,1,VB_20240930_Gal_vars_P2,E5,T04_constitutive,enAsCas12a_less_NLS,1,No,TEF,T04,19.49297976,28.956
VB_20240930_Gal_vars_P2_Experiment_T04_constitutive_F5.fcs,root,1,VB_20240930_Gal_vars_P2,F5,T04_constitutive,enAsCas12a_less_NLS,2,No,TEF,T04,20.04338113,24.728
VB_20240930_Gal_vars_P2_Experiment_T04_constitutive_G5.fcs,root,1,VB_20240930_Gal_vars_P2,G5,T04_constitutive,enAsCas12a_less_NLS,1,No,PGK1,T04,23.02646151,36.22
VB_20240930_Gal_vars_P2_Experiment_T04_constitutive_H5.fcs,root,1,VB_20240930_Gal_vars_P2,H5,T04_constitutive,enAsCas12a_less_NLS,2,No,PGK1,T04,22.64486671,29.415999999999997
