name,sample,strain,rep,guide_promoter,control,timepoint,generations,efficiency,var,assay,prom_cas
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D8.fcs,D8,ys321,2,SCR1,No,T03,11.67355642,69.836,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T03_D9.fcs,D9,ys321,1,SYN1,No,T03,9.977279923,17.288,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H1.fcs,H1,ys321,1,SNR52,Yes,T04,20.65147219,0.024,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H10.fcs,H10,ys321,2,SYN1,No,T04,16.70431868,25.892,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H2.fcs,H2,ys321,2,SNR52,Yes,T04,20.62131644,0.008,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H3.fcs,H3,ys321,1,SNR52,No,T04,20.66578003,42.136,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H4.fcs,H4,ys321,2,SNR52,No,T04,21.69139458,39.524,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H5.fcs,H5,ys321,1,RPR1,No,T04,21.16399867,56.028,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H6.fcs,H6,ys321,2,RPR1,No,T04,22.96575385,50.056,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H7.fcs,H7,ys321,1,SCR1,No,T04,21.84283646,42.896,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H8.fcs,H8,ys321,2,SCR1,No,T04,20.54392114,57.376000000000005,FnCas12a,ON,PGK1
VB_20240916_PGK1_proms_P2_Experiment_ys321_T04_H9.fcs,H9,ys321,1,SYN1,No,T04,18.66727789,23.427999999999997,FnCas12a,ON,PGK1
