promoter,donor_recruitment,cas_variant,well_position,timepoint,avg_value
SNR52,No,enAsCas12a,B05,6_gen,36.128
SNR52,No,enAsCas12a,B05,scraped,52.856
SNR52,No,enAsCas12a,C03,11_gen,99.72547228083471
SNR52,No,enAsCas12a,C03,20_gen,99.60258909630029
SNR52,No,enAsCas12a,C03,6_gen,99.494
SNR52,No,enAsCas12a,C03,scraped,94.94200000000001
SNR52,No,enAsCas12a,C04,11_gen,99.23219178524755
SNR52,No,enAsCas12a,C04,20_gen,99.42162179114635
SNR52,No,enAsCas12a,C04,6_gen,94.55799999999999
SNR52,No,enAsCas12a,C04,scraped,22.101999999999997
SNR52,No,enAsCas12a,C05,11_gen,99.90682725670065
SNR52,No,enAsCas12a,C05,20_gen,99.96324920244794
SNR52,No,enAsCas12a,C05,6_gen,99.66
SNR52,No,enAsCas12a,C05,scraped,80.32
SNR52,No,enAsCas12a,E01,11_gen,99.98528380635966
SNR52,No,enAsCas12a,E01,20_gen,99.99153901372179
SNR52,No,enAsCas12a,E01,6_gen,99.95
SNR52,No,enAsCas12a,E01,scraped,99.916
SNR52,No,enAsCas12a,E02,11_gen,99.9963386057411
SNR52,No,enAsCas12a,E02,20_gen,99.9935064935065
SNR52,No,enAsCas12a,E02,6_gen,99.988
SNR52,No,enAsCas12a,E02,scraped,94.876
SNR52,No,enAsCas12a,E05,11_gen,99.7956603684569
SNR52,No,enAsCas12a,E05,20_gen,99.82137881194146
SNR52,No,enAsCas12a,E05,6_gen,99.71199999999999
SNR52,No,enAsCas12a,E05,scraped,96.316
SNR52,No,enAsCas12a,G03,11_gen,99.99260737783689
SNR52,No,enAsCas12a,G03,20_gen,99.9896583818815
SNR52,No,enAsCas12a,G03,6_gen,99.964
SNR52,No,enAsCas12a,G03,scraped,90.47
SNR52,No,enAsCas12a,H11,11_gen,16.188188653295608
SNR52,No,enAsCas12a,H11,20_gen,50.270625981195074
SNR52,No,enAsCas12a,H11,6_gen,2.206
SNR52,No,enAsCas12a,H11,scraped,9.814
SNR52,Yes,FnCas12a,A01,11_gen,24.488
SNR52,Yes,FnCas12a,A01,20_gen,23.492
SNR52,Yes,FnCas12a,A01,6_gen,13.914000000000001
SNR52,Yes,FnCas12a,A01,scraped,3.294
SNR52,Yes,FnCas12a,A04,11_gen,70.77799999999999
SNR52,Yes,FnCas12a,A04,20_gen,79.894
SNR52,Yes,FnCas12a,A04,6_gen,56.92
SNR52,Yes,FnCas12a,A04,scraped,5.776
SNR52,Yes,FnCas12a,A09,11_gen,1.4564582638863
SNR52,Yes,FnCas12a,A09,20_gen,1.192
SNR52,Yes,FnCas12a,A09,6_gen,1.364000000000005
SNR52,Yes,FnCas12a,A09,scraped,3.0540000000000003
SNR52,Yes,FnCas12a,A12,11_gen,99.922
SNR52,Yes,FnCas12a,A12,20_gen,99.924
SNR52,Yes,FnCas12a,A12,6_gen,99.71000000000001
SNR52,Yes,FnCas12a,A12,scraped,83.25399999999999
SNR52,Yes,FnCas12a,B05,11_gen,94.74000000000001
SNR52,Yes,FnCas12a,B05,20_gen,99.028
SNR52,Yes,FnCas12a,B05,6_gen,99.024
SNR52,Yes,FnCas12a,B05,scraped,78.98
SNR52,Yes,FnCas12a,C03,11_gen,63.13999999999999
SNR52,Yes,FnCas12a,C03,20_gen,73.72200000000001
SNR52,Yes,FnCas12a,C03,6_gen,49.922000000000004
SNR52,Yes,FnCas12a,C03,scraped,5.1240000000000006
SNR52,Yes,FnCas12a,C04,11_gen,69.6839098879565
SNR52,Yes,FnCas12a,C04,20_gen,75.384
SNR52,Yes,FnCas12a,C04,6_gen,58.866
SNR52,Yes,FnCas12a,C04,scraped,6.318
SNR52,Yes,FnCas12a,C05,11_gen,8.77585368514275
SNR52,Yes,FnCas12a,C05,20_gen,7.878
SNR52,Yes,FnCas12a,C05,6_gen,5.6240000000000006
SNR52,Yes,FnCas12a,C05,scraped,4.034
SNR52,Yes,FnCas12a,E01,11_gen,98.684
SNR52,Yes,FnCas12a,E01,20_gen,99.946
SNR52,Yes,FnCas12a,E01,6_gen,99.982
SNR52,Yes,FnCas12a,E01,scraped,98.744
SNR52,Yes,FnCas12a,E02,11_gen,99.81638286662114
SNR52,Yes,FnCas12a,E02,20_gen,99.94200000000001
SNR52,Yes,FnCas12a,E02,6_gen,99.938
SNR52,Yes,FnCas12a,E02,scraped,99.31
SNR52,Yes,FnCas12a,E05,11_gen,99.84022369242291
SNR52,Yes,FnCas12a,E05,20_gen,99.892
SNR52,Yes,FnCas12a,E05,6_gen,99.91
SNR52,Yes,FnCas12a,E05,scraped,95.946
SNR52,Yes,FnCas12a,G03,11_gen,96.6575693258223
SNR52,Yes,FnCas12a,G03,20_gen,98.57
SNR52,Yes,FnCas12a,G03,6_gen,92.896
SNR52,Yes,FnCas12a,G03,scraped,31.244
SNR52,Yes,FnCas12a,H11,11_gen,92.27886209744014
SNR52,Yes,FnCas12a,H11,20_gen,97.05
SNR52,Yes,FnCas12a,H11,6_gen,87.322
SNR52,Yes,FnCas12a,H11,scraped,22.778
SNR52,Yes,enAsCas12a,A01,11_gen,96.75800000000001
SNR52,Yes,enAsCas12a,A01,20_gen,97.154
SNR52,Yes,enAsCas12a,A01,6_gen,93.98400000000001
SNR52,Yes,enAsCas12a,A01,scraped,45.827999999999996
SNR52,Yes,enAsCas12a,A04,11_gen,95.82
SNR52,Yes,enAsCas12a,A04,20_gen,95.152
SNR52,Yes,enAsCas12a,A04,6_gen,96.12
SNR52,Yes,enAsCas12a,A04,scraped,88.59
SNR52,Yes,enAsCas12a,A09,11_gen,54.80000000000041
SNR52,Yes,enAsCas12a,A09,20_gen,59.59999999999965
SNR52,Yes,enAsCas12a,A09,6_gen,2.267999999999998
SNR52,Yes,enAsCas12a,A09,scraped,10.775999999999996
SNR52,Yes,enAsCas12a,A12,11_gen,72.34800000000001
SNR52,Yes,enAsCas12a,A12,20_gen,54.983999999999995
SNR52,Yes,enAsCas12a,A12,6_gen,83.108
SNR52,Yes,enAsCas12a,A12,scraped,92.886
SNR52,Yes,enAsCas12a,B05,11_gen,4.703999999999997
SNR52,Yes,enAsCas12a,B05,20_gen,1.6100000000000003
SNR52,Yes,enAsCas12a,B05,6_gen,6.935999999999998
SNR52,Yes,enAsCas12a,B05,scraped,26.684000000000005
SNR52,Yes,enAsCas12a,C03,11_gen,94.988
SNR52,Yes,enAsCas12a,C03,20_gen,94.012
SNR52,Yes,enAsCas12a,C03,6_gen,94.548
SNR52,Yes,enAsCas12a,C03,scraped,83.352
SNR52,Yes,enAsCas12a,C04,11_gen,95.418
SNR52,Yes,enAsCas12a,C04,20_gen,93.904
SNR52,Yes,enAsCas12a,C04,6_gen,94.194
SNR52,Yes,enAsCas12a,C04,scraped,52.158
SNR52,Yes,enAsCas12a,C05,11_gen,97.92599999999999
SNR52,Yes,enAsCas12a,C05,20_gen,97.58
SNR52,Yes,enAsCas12a,C05,6_gen,97.4
SNR52,Yes,enAsCas12a,C05,scraped,89.878
SNR52,Yes,enAsCas12a,E01,11_gen,98.39
SNR52,Yes,enAsCas12a,E01,20_gen,98.106
SNR52,Yes,enAsCas12a,E01,6_gen,98.182
SNR52,Yes,enAsCas12a,E01,scraped,98.176
SNR52,Yes,enAsCas12a,E02,11_gen,5.118
SNR52,Yes,enAsCas12a,E02,20_gen,3.522000000000003
SNR52,Yes,enAsCas12a,E02,6_gen,5.698000000000003
SNR52,Yes,enAsCas12a,E02,scraped,6.378
SNR52,Yes,enAsCas12a,E05,11_gen,94.69399999999999
SNR52,Yes,enAsCas12a,E05,20_gen,93.024
SNR52,Yes,enAsCas12a,E05,6_gen,95.09800000000001
SNR52,Yes,enAsCas12a,E05,scraped,87.926
SNR52,Yes,enAsCas12a,G03,11_gen,98.828
SNR52,Yes,enAsCas12a,G03,20_gen,98.798
SNR52,Yes,enAsCas12a,G03,6_gen,98.922
SNR52,Yes,enAsCas12a,G03,scraped,98.68200000000002
SNR52,Yes,enAsCas12a,H11,11_gen,1.7920000000000047
SNR52,Yes,enAsCas12a,H11,20_gen,47.65799999999982
SNR52,Yes,enAsCas12a,H11,6_gen,1.5380000000000005
SNR52,Yes,enAsCas12a,H11,scraped,3.075999999999995
